model_name,train_time
all-mpnet-base-v2_5_15_20,39.86818599700928
all-mpnet-base-v2_5_15_21,38.40025043487549
all-mpnet-base-v2_5_15_22,38.011173725128174
all-mpnet-base-v2_5_15_23,38.53917741775513
all-mpnet-base-v2_5_15_24,38.70871305465698
all-mpnet-base-v2_5_15_25,38.093668699264526
all-mpnet-base-v2_5_16_5,59.43474006652832
all-mpnet-base-v2_5_16_6,53.12112855911255
all-mpnet-base-v2_5_16_7,51.303631067276
all-mpnet-base-v2_5_16_8,50.45638966560364
all-mpnet-base-v2_5_16_9,47.66288995742798
all-mpnet-base-v2_5_16_10,45.048718214035034
all-mpnet-base-v2_5_16_11,42.611008644104004
all-mpnet-base-v2_5_16_12,41.782695293426514
all-mpnet-base-v2_5_16_13,44.5100736618042
all-mpnet-base-v2_5_16_14,41.135579347610474
all-mpnet-base-v2_5_16_15,40.32052707672119
all-mpnet-base-v2_5_16_16,39.82597017288208
all-mpnet-base-v2_5_16_17,39.32783794403076
all-mpnet-base-v2_5_16_18,38.58065986633301
all-mpnet-base-v2_5_16_19,38.401028633117676
all-mpnet-base-v2_5_16_20,38.702603340148926
all-mpnet-base-v2_5_16_21,38.321574449539185
all-mpnet-base-v2_5_16_22,37.10006523132324
all-mpnet-base-v2_5_16_23,37.47944617271423
all-mpnet-base-v2_5_16_24,39.365336179733276
all-mpnet-base-v2_5_16_25,36.742916107177734
all-mpnet-base-v2_5_17_5,59.68122911453247
all-mpnet-base-v2_5_17_6,54.05512619018555
all-mpnet-base-v2_5_17_7,53.07918882369995
all-mpnet-base-v2_5_17_8,49.38297700881958
all-mpnet-base-v2_5_17_9,47.394917011260986
all-mpnet-base-v2_5_17_10,46.38378024101257
all-mpnet-base-v2_5_17_11,44.43316078186035
all-mpnet-base-v2_5_17_12,43.56035661697388
all-mpnet-base-v2_5_17_13,42.28277826309204
all-mpnet-base-v2_5_17_14,41.12300205230713
all-mpnet-base-v2_5_17_15,41.38515758514404
all-mpnet-base-v2_5_17_16,40.043935775756836
all-mpnet-base-v2_5_17_17,41.45202994346619
all-mpnet-base-v2_5_17_18,39.220545053482056
all-mpnet-base-v2_5_17_19,39.971383810043335
all-mpnet-base-v2_5_17_20,39.808207511901855
all-mpnet-base-v2_5_17_21,39.03847599029541
all-mpnet-base-v2_5_17_22,38.213510274887085
all-mpnet-base-v2_5_17_23,38.389716148376465
all-mpnet-base-v2_5_17_24,37.40302562713623
all-mpnet-base-v2_5_17_25,37.605867862701416
